"","keyword","ngram","freq"
"2","private-room",2,84
"8","cozy-room",2,40
"11","share-room",2,36
"16","sunny-room",2,22
"18","private-bedroom",2,19
"24","shared-room",2,15
"28","male-room",2,13
"32","spacious-room",2,12
"37","share-space",2,9
"43","beautiful-room",2,7
"46","room-close",2,7
"52","large-room",2,7
"56","spacious-bedroom",2,6
"57","furnished-room",2,6
"61","female-only",2,6
"64","min-walk",2,6
"65","share-male-room",3,6
"66","small-room",2,6
"67","single-room",2,6
"69","quiet-room",2,5
"72","living-room",2,5
"78","cozy-private-room",3,5
"80","girl-only",2,4
"83","beautiful-apartment",2,4
"85","share-room-only",3,4
"86","room-only",2,4
"88","long-term",2,4
"89","twin-be",2,4
"90","large-private-room",3,4
"91","size-be",2,4
"92","cozy-apartment",2,4
"93","room-share",2,4
"94","private-cozy-room",3,4
"95","cozy-bedroom",2,4
"97","sunny-bedroom",2,4
"98","comfortable-room",2,4
"99","spacious-share-room",3,4
"103","happy-home",2,3
"105","share-apartment",2,3
"107","clean-room",2,3
"108","female-shared-room",3,3
"109","single-be",2,3
"110","room-private-room",3,3
"112","bedroom-apartment",2,3
"113","only-comfy",2,3
"114","friendly-room",2,3
"115","spacious-private-room",3,3
"118","sunny-private",2,3
"120","quiet-private-room",3,3
"121","great-room",2,3
"122","beautiful-private-bedroom",3,3
"124","nice-room",2,3
"125","bedroom-apt",2,2
"126","female-traveler",2,2
"127","female-guest",2,2
"129","cozy-place",2,2
"131","simple-private",2,2
"134","room-cozy-room",3,2
"135","private-clean-room",3,2
"136","Pineapple-tree",2,2
"138","room-spacious-room",3,2
"139","twin-bed",2,2
"141","convenient-private-room",3,2
"142","size-bed",2,2
"144","cozy-be",2,2
"145","beautiful-share-room",3,2
"147","male-only",2,2
"148","big-room",2,2
"149","budget-friendly-room",3,2
"150","sunny-private-room",3,2
"151","comfy-room",2,2
"153","big-bedroom",2,2
"154","new-hipster-area",3,2
"155","hipster-area",2,2
"156","be-room",2,2
"157","great-location",2,2
"158","room-comfy",2,2
"160","private-small",2,2
"161","modern-room",2,2
"162","furnish-room",2,2
"163","private-sunny-room",3,2
"164","great-neighborhood",2,2
"165","private-bathroom",2,2
"167","cozy-sunny-room",3,2
"168","modern-bed",2,2
"169","beautiful-private-room",3,2
"170","cozy-share-male-room",4,2
"171","cozy-big",2,2
"172","big-private-room",3,2
"173","big-sunny-room",3,2
"174","quick-walk",2,2
