"","keyword","ngram","freq"
"1","bedroom",1,110
"2","luxury",1,104
"3","apartment",1,67
"4","townhouse",1,66
"5","Loft",1,63
"6","Apt",1,53
"7","guest",1,50
"8","suite",1,43
"9","West",1,40
"10","room",1,34
"11","beautiful",1,33
"12","private",1,30
"13","Penthouse",1,30
"14","spacious",1,29
"15","bath",1,29
"16","location",1,28
"17","bed",1,28
"18","be",1,27
"19","views",1,24
"20","4",1,23
"21","Duplex",1,23
"22","large",1,18
"23","home",1,18
"24","loft",1,17
"25","side",1,17
"26","modern",1,16
"27","ft",1,14
"28","amazing",1,13
"29","floor",1,13
"30","best",1,13
"31","Terrace",1,13
"32","apt",1,12
"33","huge",1,12
"34","stun",1,11
"35","event",1,11
"36","roof",1,11
"37","designer",1,10
"38","perfect",1,10
"39","historic",1,10
"40","luxurious",1,9
"41","cozy",1,9
"42","upper",1,9
"43","time",1,9
"44","park",1,8
"45","Gorgeous",1,8
"46","elegant",1,8
"47","family",1,7
"48","downtown",1,7
"49","full",1,7
"50","view",1,6
"51","friendly",1,6
"52","sq",1,6
"53","place",1,6
"54","2br",1,6
"55","Large",1,6
"56","house",1,6
"57","great",1,6
"58","shoots",1,6
"59","artist",1,6
"60","studio",1,5
"61","photo",1,5
"62","stay",1,5
"63","light",1,5
"64","city",1,5
"65","building",1,5
"66","elevator",1,5
"67","duplex",1,5
"68","group",1,5
"69","square",1,4
"70","shoot",1,4
"71","locate",1,4
"72","Triplex",1,4
"73","continental",1,4
"74","free",1,3
"75","top",1,3
"76","rare",1,3
"77","high",1,3
"78","Bat",1,3
"79","furnish",1,2
"80","sublet",1,2
"81","Ave",1,2
"82","weekend",1,2
"83","benefit",1,2
"84","Exclusive",1,2
"85","pad",1,2
"86","5th",1,2
"87","entire",1,2
"88","pool",1,2
"89","center",1,2
"90","4Beds",1,2
"91","line",1,2
