"","keyword","ngram","freq"
"1","room",1,2929
"2","heart",1,2049
"3","apartment",1,1979
"4","bedroom",1,1964
"5","cozy",1,1743
"6","spacious",1,1616
"7","Manhattan",1,1411
"8","min",1,1195
"9","sunny",1,1194
"10","close",1,1042
"11","Williamsburg",1,979
"12","Apt",1,935
"13","beautiful",1,935
"14","Studio",1,909
"15","location",1,863
"16",".",1,859
"17","Bright",1,856
"18","New",1,796
"19","private",1,794
"20","be",1,791
"21","village",1,744
"22","modern",1,729
"23","clean",1,675
"24","large",1,657
"25","luxury",1,636
"26","bed",1,630
"27","a",1,580
"28","home",1,575
"29","prospect",1,553
"30","quiet",1,545
"31","side",1,528
"32","Square",1,514
"33","Loft",1,472
"34","train",1,446
"35","apt",1,413
"36","minute",1,401
"37","Harlem",1,390
"38","East",1,380
"39","block",1,365
"40","charming",1,357
"41","gym",1,332
"42","Subway",1,326
"43","next",1,319
"44","Home",1,318
"45","Crown",1,310
"46","park",1,308
"47","huge",1,296
"48","Midtown",1,291
"49","1BR",1,284
"50","step",1,283
"51","Br",1,278
"52","Brownstone",1,277
"53","bathroom",1,274
"54","place",1,271
"55","bath",1,271
"56","Chelsea",1,270
"57","floor",1,266
"58","subway",1,263
"59","charme",1,255
"60","walk",1,254
"61","West",1,253
"62","views",1,250
"63","studio",1,247
"64","balcony",1,244
"65","BR",1,241
"66","Doorman",1,241
"67","suite",1,240
"68","Greenpoint",1,238
"69","view",1,234
"70","hill",1,233
"71","light",1,222
"72","House",1,220
"73","comfy",1,219
"74","comfortable",1,218
"75","Gorgeous",1,217
"76","amazing",1,217
"77","only",1,208
"78","artist",1,205
"79","Bath",1,204
"80","cute",1,202
"81","perfect",1,199
"82","City",1,187
"83","Queens",1,179
"84","stop",1,171
"85","Prime",1,170
"86","big",1,170
"87","historic",1,165
"88","city",1,161
"89","Renovate",1,161
"90","Stylish",1,160
"91","convenient",1,160
"92","Space",1,159
"93","Duplex",1,158
"94","Soho",1,155
"95","entire",1,154
"96","Chic",1,152
"97","great",1,149
"98","townhouse",1,149
"99","Rooftop",1,147
"100","Lovly",1,141
"101","area",1,140
"102","sleep",1,140
"103","best",1,139
"104","UWS",1,139
"105","bd",1,138
"106","gem",1,136
"107","downtown",1,133
"108","Oasis",1,132
"109","new",1,130
"110","deck",1,129
"111","loft",1,127
"112","guest",1,125
"113","nice",1,121
"114","access",1,120
"115","Terrace",1,119
"116","2BR",1,116
"117","Gramercy",1,116
"118","sq",1,116
"119","space",1,116
"120","1br",1,114
"121","safe",1,111
"122","UES",1,111
"123","mins",1,111
"124","luxurious",1,111
"125","Grand",1,110
"126","Lovely",1,109
"127","airport",1,108
"128","Ave",1,108
"129","LES",1,107
"130","building",1,106
"131","stay",1,104
"132","full",1,103
"133","friendly",1,102
"134","Empire",1,101
"135","sun",1,100
"136","house",1,100
"137","br",1,99
"138","entrance",1,99
"139","family",1,98
"140","Penthouse",1,97
"141","renovate",1,97
"142","designer",1,96
"143","condo",1,94
"144","stun",1,94
"145","bright",1,92
"146","Bedstuy",1,92
"147","2br",1,90
"148","flat",1,89
"149","APT",1,89
"150","MANHATTAN",1,88
"151","available",1,88
"152","fill",1,87
"153","share",1,83
"154","Large",1,83
"155","warm",1,83
"156","furnish",1,82
"157","garden",1,81
"158","Artsy",1,81
"159","elevator",1,80
"160","m",1,80
"161","elegant",1,79
"162","yard",1,79
"163","Trendy",1,77
"164","Bronx",1,77
"165","welcome",1,76
"166","center",1,76
"167","15min",1,75
"168","beach",1,75
"169","Rm",1,73
"170","classic",1,73
"171","locate",1,73
"172","pool",1,73
"173","style",1,72
"174","backyard",1,72
"175","bdrm",1,70
"176","cool",1,70
"177","peaceful",1,70
"178","central",1,69
"179","duplex",1,66
"180","open",1,66
"181","Comfort",1,66
"182","L",1,65
"183","ft",1,64
"184","washer",1,64
"185","roof",1,63
"186","retreat",1,63
"187","lot",1,61
"188","street",1,61
"189","parking",1,60
"190","Sunset",1,60
"191","brownstone",1,59
"192","live",1,59
"193","W",1,57
"194","Queen",1,56
"195","Fee",1,56
"196","free",1,55
"197","spot",1,55
"198","Cosy",1,55
"199","unique",1,54
"200","rent",1,54
"201","Neighborhood",1,54
"202","sweet",1,53
"203","terrace",1,52
"204","line",1,52
"205","Walk",1,52
"206","Flushing",1,51
"207","neighborhood",1,51
"208","professional",1,51
"209","circle",1,50
"210","simple",1,50
"211","affordable",1,49
"212","charm",1,49
"213","hotel",1,48
"214","Sunnyside",1,48
"215","sanctuary",1,48
"216","quaint",1,48
"217","square",1,47
"218","small",1,47
"219","Downtown",1,47
"220","Bdrm",1,46
"221","prime",1,46
"222","5min",1,46
"223","NEW",1,45
"224","Le",1,45
"225","top",1,45
"226","manhattan",1,45
"227","true",1,45
"228","awesome",1,45
"229","pad",1,44
"230","rooftop",1,44
"231","furnished",1,44
"232","price",1,44
"233","rental",1,43
"234","experience",1,43
"235","time",1,43
"236","upper",1,43
"237","traveler",1,42
"238","10min",1,42
"239","part",1,42
"240","deal",1,41
"241","people",1,41
"242","fun",1,41
"243","Bedroom",1,41
"244","haven",1,40
"245","like",1,40
"246","enjoy",1,40
"247","summer",1,39
"248","term",1,39
"249","love",1,39
"250","Casa",1,39
"251","bridge",1,39
"252","window",1,38
"253","distance",1,38
"254","kitchen",1,37
"255","Suite",1,37
"256","trendy",1,37
"257","ideal",1,36
"258","Sublet",1,36
"259","get",1,36
"260","la",1,36
"261","BedStuy",1,36
"262","Great",1,35
"263","day",1,35
"264","couple",1,35
"265","dryer",1,34
"266","Living",1,34
"267","theater",1,34
"268","colorful",1,34
"269","unit",1,34
"270","j",1,34
"271","Sunlit",1,33
"272","high",1,33
"273","beauty",1,33
"274","Bohemian",1,33
"275","urban",1,33
"276","calm",1,33
"277","female",1,33
"278","king",1,32
"279","special",1,32
"280","cheap",1,32
"281","bdr",1,32
"282","ride",1,32
"283","-Stuy",1,32
"284","hip",1,32
"285","have",1,31
"286","Serene",1,31
"287","Friendly",1,30
"288","level",1,30
"289","west",1,30
"290","spectacular",1,30
"291","old",1,30
"292","<U+2764><U+FE0F>",1,30
"293","fabulous",1,30
"294","corner",1,29
"295","authentic",1,29
"296","lovely",1,28
"297","cat",1,28
"298","plant",1,28
"299","feel",1,28
"300","escape",1,28
"301","couch",1,28
"302","expose",1,28
"303","quite",1,28
"304","patio",1,27
"305","Big",1,27
"306","more",1,27
"307","homey",1,27
"308","dream",1,27
"309","station",1,27
"310","nest",1,26
"311","3br",1,26
"312","south",1,26
"313","tree",1,26
"314","st",1,26
"315","u",1,26
"316","little",1,25
"317","relaxing",1,25
"318","stylish",1,25
"319","midtown",1,25
"320","massive",1,25
"321","size",1,25
"322","chill",1,25
"323","east",1,25
"324","artistic",1,24
"325","outdoor",1,24
"326","benefit",1,24
"327","Uws",1,24
"328","adorable",1,24
"329","holiday",1,24
"330","Renovated",1,24
"331","Location",1,24
"332","host",1,23
"333","height",1,23
"334","vacation",1,23
"335","breakfast",1,23
"336","tv",1,23
"337","rise",1,23
"338","sublet",1,22
"339","b",1,22
"340","comfort",1,22
"341","Luxe",1,22
"342","fantastic",1,22
"343","Palace",1,22
"344","easy",1,21
"345","own",1,21
"346","Woodside",1,21
"347","Deluxe",1,21
"348","ba",1,21
"349","story",1,20
"350","end",1,20
"351","Green",1,20
"352","rm",1,20
"353","vintage",1,20
"354","à",1,20
"355","industrial",1,20
"356","airy",1,20
"357","Inwood",1,20
"358","1bd",1,20
"359","value",1,20
"360","bus",1,20
"361","stunning",1,20
"362","doorman",1,20
"363","chic",1,20
"364","Presidential",1,20
"365","Pied",1,19
"366","most",1,19
"367","neat",1,19
"368","rare",1,19
"369","town",1,19
"370","BA",1,19
"371","hide",1,19
"372","night",1,19
"373","include",1,19
"374","york",1,19
"375","relax",1,19
"376","5th",1,19
"377","High",1,19
"378","artsy",1,18
"379","wonderful",1,18
"380","find",1,18
"381","Uptown",1,18
"382","Superhost",1,18
"383","amenity",1,18
"384","fee",1,18
"385","ceiling",1,18
"386","stadium",1,18
"387","metro",1,17
"388","drench",1,17
"389","come",1,17
"390","getaway",1,17
"391","budget",1,17
"392","lit",1,17
"393","build",1,17
"394","heaven",1,17
"395","student",1,17
"396","paradise",1,17
"397","upscale",1,17
"398","single",1,17
"399","month",1,16
"400","art",1,16
"401","kid",1,16
"402","sqft",1,16
"403","peace",1,16
"404","sunlight",1,16
"405","queens",1,16
"406","Design",1,16
"407","entry",1,16
"408","need",1,16
"409","Light",1,16
"410","Immaculate",1,16
"411","delightful",1,16
"412","wifi",1,16
"413","Victorian",1,16
"414","4min",1,16
"415","group",1,15
"416","2nd",1,15
"417","Rustic",1,15
"418","see",1,15
"419","restaurant",1,15
"420","pre-war",1,15
"421","contemporary",1,15
"422","sky",1,15
"423","homy",1,15
"424","master",1,15
"425","travelers",1,15
"426","oasis",1,15
"427","Triplex",1,15
"428","Bedrooms",1,15
"429","bldg",1,15
"430","bar",1,15
"431","Eclectic",1,15
"432","good",1,15
"433","wall",1,15
"434","pleasant",1,15
"435","Breakfast",1,15
"436","visit",1,15
"437","r",1,15
"438","historical",1,14
"439","legal",1,14
"440","Cheerful",1,14
"441","2bd",1,14
"442","lover",1,14
"443","front",1,14
"444","l",1,14
"445","waterfront",1,14
"446","office",1,14
"447","Listing",1,14
"448","woman",1,14
"449","skylight",1,14
"450","kind",1,14
"451","double",1,14
"452","back",1,14
"453","solo",1,14
"454","mall",1,14
"455","Cleaning",1,14
"456","discount",1,13
"457","weekend",1,13
"458","1st",1,13
"459","minimum",1,13
"460","finest",1,13
"461","shared",1,13
"462","secret",1,13
"463","cosy",1,13
"464","brooklyn",1,13
"465","monthly",1,13
"466","factory",1,13
"467","incredible",1,13
"468","Dorm",1,13
"469","bedrm",1,13
"470","invite",1,13
"471","sofa",1,13
"472","water",1,13
"473","short",1,13
"474","magnificent",1,13
"475","transportation",1,12
"476","romantic",1,12
"477","shower",1,12
"478","long",1,12
"479","e",1,12
"480","review",1,12
"481","fl",1,12
"482","williamsburg",1,12
"483","week",1,12
"484","g",1,12
"485","door",1,12
"486","real",1,12
"487","Ue",1,12
"488","cabin",1,12
"489","rest",1,12
"490","border",1,12
"491","Filled",1,12
"492","express",1,12
"493","Basement",1,12
"494","bushwick",1,12
"495","vibe",1,12
"496","local",1,12
"497","condition",1,12
"498","brick",1,12
"499","privacy",1,12
"500","casa",1,12
"501","commute",1,12
"502","Union",1,11
"503","Manor",1,11
"504","living",1,11
"505","twin",1,11
"506","sf",1,11
"507","Parkside",1,11
"508","avail",1,11
"509","design",1,11
"510","ferry",1,11
"511","apt.",1,11
"512","river",1,11
"513","College",1,11
"514","ave",1,11
"515","minimal",1,11
"516","57th",1,11
"517","magical",1,11
"518","w",1,11
"519","residence",1,11
"520","d",1,11
"521","2bed",1,11
"522","Amenity",1,10
"523","base",1,10
"524","Fl",1,10
"525","Cottage",1,10
"526","Creative",1,10
"527","laundry",1,10
"528","quick",1,10
"529","nr",1,10
"530","fast",1,10
"531","Bat",1,10
"532","Paradise",1,10
"533","work",1,10
"534","better",1,10
"535","update",1,10
"536","person",1,10
"537","shop",1,10
"538","closet",1,10
"539","desk",1,10
"540","first",1,10
"541","humble",1,10
"542","Live",1,10
"543","overlook",1,10
"544","service",1,10
"545","class",1,10
"546","accommodation",1,9
"547","coffee",1,9
"548","yoga",1,9
"549","music",1,9
"550","brand",1,9
"551","4br",1,9
"552","wow",1,9
"553","foot",1,9
"554","gorgeous",1,9
"555","girl",1,9
"556","star",1,9
"557","ppl",1,9
"558","lower",1,9
"559","Lavish",1,9
"560","Chambre",1,9
"561","accessible",1,9
"562","smart",1,9
"563","midtow",1,9
"564","Minimalist",1,9
"565","Bliss",1,9
"566","main",1,9
"567","check",1,9
"568","Rate",1,9
"569","q",1,8
"570","read",1,8
"571","owner",1,8
"572","landmark",1,8
"573","lovers",1,8
"574","Parlor",1,8
"575","LOCATION",1,8
"576","Terre",1,8
"577","convert",1,8
"578","look",1,8
"579","exquisite",1,8
"580","Pvt",1,8
"581","Nations",1,8
"582","queen",1,8
"583","y",1,8
"584","60th",1,8
"585","nyc",1,8
"586","event",1,8
"587","travel",1,8
"588","inn",1,7
"589","excellent",1,7
"590","CHELSEa",1,7
"591","hood",1,7
"592","Tranquility",1,7
"593","happy",1,7
"594","hub",1,7
"595","Xl",1,7
"596","face",1,7
"597","bedstuy",1,7
"598","offer",1,7
"599","year",1,7
"600","giant",1,7
"601","Sun-drench",1,7
"602","ensuite",1,7
"603","crash",1,7
"604","rate",1,7
"605","call",1,7
"606","Ground",1,7
"607","CASA",1,7
"608","4th",1,7
"609","en",1,7
"610","Ceilings",1,7
"611","century",1,7
"612","U",1,7
"613","air",1,7
"614","livingroom",1,7
"615","slope",1,7
"616","Years",1,7
"617","penthouse",1,7
"618","sunlit",1,7
"619","transit",1,7
"620","executive",1,7
"621","Exclusive",1,7
"622","basement",1,7
"623","trip",1,7
"624","sundeck",1,7
"625","tourist",1,7
"626","Habitación",1,7
"627","nook",1,7
"628","same",1,7
"629","jfk",1,7
"630","enormous",1,6
"631","Nr",1,6
"632","hospitality",1,6
"633","Serenity",1,6
"634","creative",1,6
"635","p",1,6
"636","bedrooms",1,6
"637","extra",1,6
"638","2bdr",1,6
"639","Ceiling",1,6
"640","tasteful",1,6
"641","district",1,6
"642","flr",1,6
"643","roomy",1,6
"644","W/d",1,6
"645","wait",1,6
"646","Ensuite",1,6
"647","Medical",1,6
"648","loc",1,6
"649","green",1,6
"650","memory",1,6
"651","yellow",1,6
"652","cave",1,6
"653","86th",1,6
"654","remodel",1,6
"655","transport",1,6
"656","score",1,6
"657","far",1,6
"658","w/private",1,6
"659","business",1,6
"660","ny",1,6
"661","magic",1,6
"662","au",1,5
"663","pickup",1,5
"664","Vibe",1,5
"665","-stuy",1,5
"666","den",1,5
"667","season",1,5
"668","decorate",1,5
"669","2b",1,5
"670","museum",1,5
"671","Attic",1,5
"672","stuy",1,5
"673","self",1,5
"674","bohemian",1,5
"675","equip",1,5
"676","bth",1,5
"677","2BATH",1,5
"678","dining",1,5
"679","Lrg",1,5
"680","row",1,5
"681","fr",1,5
"682","soak",1,5
"683","separate",1,5
"684","60",1,5
"685","superb",1,5
"686","mattress",1,5
"687","european",1,5
"688","uptown",1,5
"689","lease",1,5
"690","hot",1,5
"691","famous",1,5
"692","inspire",1,5
"693","adult",1,5
"694","attraction",1,5
"695","52nd",1,5
"696","atmosphere",1,5
"697","Stroot",1,5
"698","attractions",1,5
"699","life",1,5
"700","sq.",1,5
"701","para",1,5
"702","cafe",1,5
"703","community",1,5
"704","male",1,5
"705","3rd",1,4
"706","Sun-drenched",1,4
"707","low",1,4
"708","meat",1,4
"709","soho",1,4
"710","skyline",1,4
"711","movie",1,4
"712","hr",1,4
"713","Priv",1,4
"714","discounted",1,4
"715","cost",1,4
"716","Confortable",1,4
"717","roofdeck",1,4
"718","many",1,4
"719","relaxed",1,4
"720","major",1,4
"721","half",1,4
"722","smoke",1,4
"723","campus",1,4
"724","rock",1,4
"725","premier",1,4
"726","bird",1,4
"727","Luminous",1,4
"728","independent",1,4
"729","Place",1,4
"730","stroot",1,4
"731","ok",1,4
"732","film",1,4
"733","meet",1,4
"734","Flush",1,4
"735","hideaway",1,4
"736","take",1,4
"737","attach",1,4
"738","fresh",1,4
"739","key",1,4
"740","suit",1,4
"741","late",1,4
"742","frm",1,4
"743","34th",1,4
"744","es",1,4
"745","4Beds",1,4
"746","university",1,4
"747","lady",1,4
"748","windows",1,3
"749","french",1,3
"750","arty",1,3
"751","50th",1,3
"752","other",1,3
"753","3bd",1,3
"754","abode",1,3
"755","red",1,3
"756","avenue",1,3
"757","head",1,3
"758","railroad",1,3
"759","6th",1,3
"760","bottom",1,3
"761","fold",1,3
"762","type",1,3
"763","young",1,3
"764","minimalist",1,3
"765","aparment",1,3
"766","longterm",1,3
"767","23rd",1,3
"768","finish",1,3
"769","<U+65C5><U+9014><U+4E2D><U+7684><U+5BB6>",1,3
"770","shopping",1,3
"771","19th",1,3
"772","Tidy",1,3
"773","25th",1,3
"774","renovation",1,3
"775","whole",1,3
"776","72nd",1,3
"777","dog",1,3
"778","Borough",1,3
"779","field",1,3
"780","Lights",1,3
"781","appartement",1,3
"782","-fill",1,3
"783","hipster",1,3
"784","palace",1,3
"785","harlem",1,3
"786","bay",1,3
"787","bronx",1,3
"788","ocean",1,3
"789","store",1,3
"790","island",1,3
"791","Redesign",1,3
"792","jungle",1,3
"793","sunshine",1,3
"794","energy",1,3
"795","greenpoint",1,3
"796","roommate",1,3
"797","apple",1,3
"798","<U+97D3><U+57CE>",1,3
"799","-century",1,3
"800","mini",1,2
"801","<U+2B50><U+FE0F>",1,2
"802","priv",1,2
"803","refuge",1,2
"804","triplex",1,2
"805","school",1,2
"806","perch",1,2
"807","Py",1,2
"808","security",1,2
"809","video",1,2
"810","country",1,2
"811","Appartement",1,2
"812","petit",1,2
"813","110th",1,2
"814","<U+66FC><U+54C8><U+987F>",1,2
"815","-filled",1,2
"816","rustic",1,2
"817","rowhouse",1,2
"818","bdroom",1,2
"819","pvt",1,2
"820","custom",1,2
"821","63rd",1,2
"822","Spotless",1,2
"823","warehouse",1,2
"824","serene",1,2
"825","bungalow",1,2
"826","seaside",1,2
"827","listing",1,2
"828","party",1,2
"829","church",1,2
"830","fullest",1,2
"831","practical",1,2
"832","indoor",1,2
"833","direct",1,2
"834","cable",1,2
"835","picture",1,2
"836","deluxe",1,2
"837","hospital",1,2
"838","lounge",1,2
"839","eclectic",1,2
"840","Cozi",1,2
"841","detail",1,2
"842","aprtmnt",1,2
"843","-private",1,2
"844","hidden",1,2
"845","flight",1,2
"846","lighting",1,2
"847","crew",1,2
"848","furniture",1,2
"849","<U+6027><U+4EF7><U+6BD4><U+9AD8>",1,2
"850","Privet",1,2
"851","<U+2605>Private",1,2
"852","Soulful",1,2
"853","3BD",1,2
"854","sleeping",1,2
"855","boutique",1,2
"856","record",1,2
"857","<U+C6C3>",1,2
"858","bunk",1,2
"859","Expansive",1,2
"860","confortable",1,2
"861","road",1,2
"862","walking",1,2
